 TUDO SOBRE ARUJÁ;False;31/03/2021 14:43:29;Grupo não localizado;
DESAPEGO Vila Formosa, Carrão, Tatuapé, Vila Santa Isabel e Redondezas.;False;31/03/2021 14:45:22;Grupo não localizado;
Amigos da Cidade Tiradentes;True;31/03/2021 14:47:18;Publicação realizada;
